TRACK:  22 0.00133329   -9.95801e-06   0.131814
TRACK:  11 0.0503903   -7.43025e-07   4.86792

EVENT:  70 2 18.5471  0.000302401  -9280.5
TRACK:  22 0.00616805   -5.30324e-06   0.599279
TRACK:  11 0.0455303   0.000116343   4.40045

EVENT:  71 2 18.549  -0.000113487  -9280.5
TRACK:  22 0.00664428   -1.36018e-05   0.643996
TRACK:  11 0.0451235   5.02036e-05   4.35574

EVENT:  72 2 18.5461  0.000134496  -9280.5
TRACK:  22 0.000836156   2.28533e-05   0.0825659
TRACK:  11 0.0505767   -1.97945e-05   4.91717

EVENT:  73 2 18.5471  0.00029811  -9280.5
TRACK:  22 0.000422313   -1.41125e-05   0.0396854
TRACK:  11 0.0513894   0.000139885   4.96005

EVENT:  74 2 18.5461  -9.61461e-06  -9280.5
TRACK:  22 0.00754464   2.41295e-05   0.728369
TRACK:  11 0.0443318   7.4503e-05   4.27136

EVENT:  75 2 18.5479  0.000432152  -9280.5
TRACK:  22 0.00328875   2.15741e-05   0.319022
TRACK:  11 0.0487346   -0.000119983   4.68071

EVENT:  76 2 18.5485  -7.54079e-05  -9280.5
TRACK:  22 0.00150728   -3.28781e-05   0.144981
TRACK:  11 0.0503598   3.3543e-05   4.85475

EVENT:  77 2 18.548  -0.000141471  -9280.5
TRACK:  22 0.00679234   6.91982e-06   0.656255
TRACK:  11 0.044779   -8.12972e-05   4.34348

EVENT:  78 2 18.5466  0.000155879  -9280.5
TRACK:  22 0.00451857   -1.81035e-05   0.439492
TRACK:  11 0.0473346   -4.36186e-05   4.56024

EVENT:  79 2 18.5468  -3.56569e-05  -9280.5
TRACK:  22 0.00227687   1.19643e-05   0.223491
TRACK:  11 0.0494522   -6.98665e-05   4.77624

EVENT:  80 2 18.5472  -0.000312045  -9280.5
TRACK:  22 0.007006   1.29094e-05   0.676815
TRACK:  11 0.0449248   8.77335e-06   4.32291

EVENT:  81 2 18.5463  0.000234989  -9280.5
TRACK:  22 0.0021918   -3.36214e-05   0.212879
TRACK:  11 0.049662   4.72048e-05   4.78685

EVENT:  82 2 18.547  -0.000139434  -9280.5
TRACK:  22 0.000134883   7.98452e-07   0.0141667
TRACK:  11 0.0514772   1.07103e-05   4.98557

EVENT:  83 2 18.5474  -8.98953e-05  -9280.5
TRACK:  22 0.00250907   -2.68021e-05   0.241026
TRACK:  11 0.0489947   7.42419e-05   4.75871

