Element,Gx,Gy,Gz,s,Length,Value,Chi1,Chi2,Chi3,#_µ,mag.#,type
QC1LPE107,9            1.548663,-452.79957,4.14E-05,1.080001,0,-3.42E-04,2.791527,-0.045066,-3.24E-19,257,2,84
,,,,,,,,,,,,
QC1LPE108,1            1.548663,-452.79957,4.14E-05,1.080001,0,-2.97E-04,2.791518,-0.045092,-3.24E-19,259,2,86
,,,,,,,,,,,,
QC1LE1085,1.548663,-452.79957,4.14E-05,1.080001,0.01,6.31E-05,2.791514,-0.045093,-3.24E-19,260,2,87
,,,,,,,,,,,,
QC1LPE108,9            1.558651,-452.799083,3.39E-05,1.090001,0,-2.97E-04,2.790523,-0.041432,-3.29E-19,261,2,86
,,,,,,,,,,,,
QC1LPE109,1            1.558651,-452.799083,3.39E-05,1.090001,0,-2.47E-04,2.790515,-0.041458,-3.29E-19,263,2,88
,,,,,,,,,,,,
QC1LE1095,1.558651,-452.799083,3.39E-05,1.090001,0.01,7.00E-05,2.790511,-0.041459,-3.29E-19,264,2,89
,,,,,,,,,,,,
QC1LPE109,9            1.568639,-452.798596,2.70E-05,1.100001,0,-2.47E-04,2.789649,-0.037831,-3.34E-19,265,2,88
,,,,,,,,,,,,
QC1LPE110,1            1.568639,-452.798596,2.70E-05,1.100001,0,-1.96E-04,2.789643,-0.037858,-3.34E-19,267,2,90
,,,,,,,,,,,,
QC1LE1105,1.568639,-452.798596,2.70E-05,1.100001,0.01,7.96E-05,2.78964,-0.037859,-3.34E-19,268,2,91
,,,,,,,,,,,,
QC1LPE110,9            1.578627,-452.79811,2.07E-05,1.110001,0,-1.96E-04,2.788907,-0.034296,-3.38E-19,269,2,90
,,,,,,,,,,,,
QC1LPE111,1            1.578627,-452.79811,2.07E-05,1.110001,0,-1.47E-04,2.788902,-0.034323,-3.38E-19,271,2,92
,,,,,,,,,,,,
QC1LE1115,1.578627,-452.79811,2.07E-05,1.110001,0.01,9.34E-05,2.788899,-0.034324,-3.38E-19,272,2,93
,,,,,,,,,,,,
QC1LPE111,9            1.588615,-452.797623,1.50E-05,1.120001,0,-1.47E-04,2.788288,-0.030873,-3.41E-19,273,2,92
,,,,,,,,,,,,
QC1LPE112,1            1.588615,-452.797623,1.50E-05,1.120001,0,-1.05E-04,2.788284,-0.030901,-3.42E-19,275,2,94
,,,,,,,,,,,,
QC1LE1125,1.588615,-452.797623,1.50E-05,1.120001,0.01,1.13E-04,2.788282,-0.030901,-3.42E-19,276,2,95
,,,,,,,,,,,,
QC1LPE112,9            1.598603,-452.797137,9.88E-06,1.130001,0,-1.05E-04,2.787778,-0.027633,-3.44E-19,277,2,94
,,,,,,,,,,,,
QC1LPE113,1            1.598603,-452.797137,9.88E-06,1.130001,0,-7.24E-05,2.787776,-0.027661,-3.44E-19,279,2,96
,,,,,,,,,,,,
QC1LE1135,1.598603,-452.797137,9.88E-06,1.130001,0.01,1.42E-04,2.787774,-0.027662,-3.44E-19,280,2,97
,,,,,,,,,,,,
QC1LPE113,9            1.608592,-452.79665,5.31E-06,1.140001,0,-7.24E-05,2.787359,-0.024665,-3.47E-19,281,2,96
,,,,,,,,,,,,
QC1LPE114,1            1.608592,-452.79665,5.31E-06,1.140001,0,-4.84E-05,2.787357,-0.024693,-3.47E-19,283,2,98
,,,,,,,,,,,,
QC1LE1145,1.608592,-452.79665,5.31E-06,1.140001,0.01,1.84E-04,2.787356,-0.024693,-3.47E-19,284,2,99
,,,,,,,,,,,,
QC1LPE114,9            1.618580,-452.796164,1.23E-06,1.150001,0,-4.84E-05,2.78701,-0.022068,-3.49E-19,285,2,98
,,,,,,,,,,,,
QC1LPE115,1            1.618580,-452.796164,1.23E-06,1.150001,0,-3.17E-05,2.787009,-0.022094,-3.49E-19,287,2,100
,,,,,,,,,,,,
QC1LE1155,1.61858,-452.796164,1.23E-06,1.150001,0.01,2.41E-04,2.787008,-0.022094,-3.49E-19,288,2,101
,,,,,,,,,,,,
QC1LPE115,9            1.628568,-452.795678,-2.43E-06,1.160001,0,-3.17E-05,2.786713,-0.019928,-3.50E-19,289,2,100
,,,,,,,,,,,,
QC1LPE116,1            1.628568,-452.795678,-2.43E-06,1.160001,0,-2.06E-05,2.786713,-0.019953,-3.50E-19,291,2,102
,,,,,,,,,,,,
QC1LE1165,1.628568,-452.795678,-2.43E-06,1.160001,0.01,3.09E-04,2.786713,-0.019953,-3.50E-19,292,2,103
,,,,,,,,,,,,
QC1LPE116,9            1.638556,-452.795192,-5.77E-06,1.170001,0,-2.06E-05,2.786459,-0.018299,-3.52E-19,293,2,102
,,,,,,,,,,,,
QC1LPE117,1            1.638556,-452.795192,-5.77E-06,1.170001,0,-1.33E-05,2.786458,-0.018321,-3.52E-19,295,2,104
,,,,,,,,,,,,
QC1LE1175,1.638556,-452.795192,-5.77E-06,1.170001,0.01,3.38E-04,2.786458,-0.018321,-3.52E-19,296,2,105
,,,,,,,,,,,,
QC1LPE117,9            1.648544,-452.794706,-8.87E-06,1.180001,0,-1.33E-05,2.786252,-0.017171,-3.53E-19,297,2,104
,,,,,,,,,,,,
QC1LPE118,1            1.648544,-452.794706,-8.87E-06,1.180001,0,-8.60E-06,2.786252,-0.01719,-3.53E-19,299,2,106
,,,,,,,,,,,,
QC1LE1185,1.648544,-452.794706,-8.87E-06,1.180001,0.01,1.27E-04,2.786252,-0.01719,-3.53E-19,300,2,107
,,,,,,,,,,,,
QC1LPE118,9            1.658532,-452.79422,-1.18E-05,1.190001,0,-8.60E-06,2.786141,-0.016469,-3.53E-19,301,2,106
,,,,,,,,,,,,
QC1LPE119,1            1.658532,-452.79422,-1.18E-05,1.190001,0,-5.58E-06,2.786141,-0.016485,-3.53E-19,303,2,108
,,,,,,,,,,,,
QC1LE1195,1.658532,-452.79422,-1.18E-05,1.190001,0.01,-9.42E-04,2.786141,-0.016485,-3.53E-19,304,2,109
,,,,,,,,,,,,
QC1LPE119,9            1.668521,-452.793734,-1.46E-05,1.200001,0,-5.58E-06,2.786251,-0.016065,-3.53E-19,305,2,108
,,,,,,,,,,,,
QC1LPE120,1            1.668521,-452.793734,-1.46E-05,1.200001,0,-3.65E-06,2.786251,-0.016077,-3.53E-19,307,2,110
,,,,,,,,,,,,
QC1LE1205,1.668521,-452.793734,-1.46E-05,1.200001,0.01,-0.0041171,2.786251,-0.016077,-3.53E-19,308,2,111
,,,,,,,,,,,,
QC1LPE120,9            1.678509,-452.793247,-1.74E-05,1.210001,0,-3.65E-06,2.786787,-0.015812,-3.50E-19,309,2,110
,,,,,,,,,,,,
