Element,Gx,Gy,Gz,s,Length,Value,Chi1,Chi2,Chi3,#_µ,mag.#,type
,,,,,,,,,,,,
MQF6E13,-142.036201,451.528312,4.59E-18,1647.862022,0,0,-173.325875,2.13E-18,1.59E-19,3265,879,11
,,,,,,,,,,,,
QF6E.13,-142.206554,451.508378,4.59E-18,1648.033537,0.55697,0.1633353,-173.325875,2.13E-18,1.59E-19,3267,880,372
,,,,,,,,,,,,
B2E.59,-143.648003,451.339706,4.65E-18,1649.484821,5.902202,0.0557427,-173.325875,2.13E-18,1.59E-19,3269,881,366
,,,,,,,,,,,,
MQD5E26,-150.164696,450.373047,4.89E-18,1656.073822,0,0,-170.132052,2.12E-18,2.78E-19,3271,882,11
,,,,,,,,,,,,
QD5E.26,-150.348856,450.341012,4.90E-18,1656.260747,0.82615,-0.1793457,-170.132052,2.12E-18,2.78E-19,3273,883,371
,,,,,,,,,,,,
ZVQD5E26,-151.275811,450.179767,4.93E-18,1657.201622,0.3444,0,-170.132052,2.12E-18,2.78E-19,3275,884,324
,,,,,,,,,,,,
MQEAE26,-155.831006,449.387384,5.10E-18,1661.825221,0,0,-170.132052,2.12E-18,2.78E-19,3277,885,11
,,,,,,,,,,,,
QEAE.26,-156.015165,449.355349,5.11E-18,1662.012146,0.82615,0.1830092,-170.132052,2.12E-18,2.78E-19,3279,886,370
,,,,,,,,,,,,
ZHQEAE26,-156.94212,449.194104,5.15E-18,1662.953021,0.3444,0,-170.132052,2.12E-18,2.78E-19,3281,887,324
,,,,,,,,,,,,
SF2FLE.2,-159.870903,448.684637,5.26E-18,1665.925785,0.334,0,-170.132052,2.12E-18,2.78E-19,3283,888,369
,,,,,,,,,,,,
MQF4E21,-160.38321,448.595521,5.28E-18,1666.445785,0,0,-170.132052,2.12E-18,2.78E-19,3285,889,11
,,,,,,,,,,,,
QF4E.21,-160.572749,448.56255,5.28E-18,1666.63817,1.01523,0.0349495,-170.132052,2.12E-18,2.78E-19,3287,890,363
,,,,,,,,,,,,
ZHQF4E21,-161.691366,448.367965,5.32E-18,1667.773585,0.3444,0,-170.132052,2.12E-18,2.78E-19,3289,891,324
,,,,,,,,,,,,
ZVQD3E21,-163.673383,448.02319,5.40E-18,1669.785367,0.3444,0,-170.132052,2.12E-18,2.78E-19,3291,892,324
,,,,,,,,,,,,
QD3E.21,-164.125716,447.944506,5.42E-18,1670.244492,0.82615,-0.1748774,-170.132052,2.12E-18,2.78E-19,3293,893,364
,,,,,,,,,,,,
MQD3E21,-165.123802,447.770887,5.45E-18,1671.257567,0,0,-170.132052,2.12E-18,2.78E-19,3295,894,11
,,,,,,,,,,,,
SD3FLE.1,-165.314932,447.73764,5.46E-18,1671.451567,1.03,0,-170.132052,2.12E-18,2.78E-19,3297,895,365
,,,,,,,,,,,,
B2E.60,-168.217252,447.232777,5.57E-18,1674.39747,5.902202,0.0557427,-170.132052,2.12E-18,2.78E-19,3299,896,366
,,,,,,,,,,,,
QF2E.25,-174.662675,445.906241,5.81E-18,1680.978986,0.55697,0.1918305,-166.938229,2.10E-18,3.95E-19,3301,897,367
,,,,,,,,,,,,
MQF2E25,-175.372312,445.741602,5.84E-18,1681.707471,0,0,-166.938229,2.10E-18,3.95E-19,3303,898,11
,,,,,,,,,,,,
ZHQF2E25,-175.45297,445.722889,5.84E-18,1681.790271,0.3444,0,-166.938229,2.10E-18,3.95E-19,3305,899,324
,,,,,,,,,,,,
MQD1E13,-179.015308,444.896413,5.98E-18,1685.447225,0,0,-166.938229,2.10E-18,3.95E-19,3307,900,11
,,,,,,,,,,,,
QD1E.13,-179.202715,444.852933,5.98E-18,1685.63961,1.01523,-0.2548509,-166.938229,2.10E-18,3.95E-19,3310,901,368
,,,,,,,,,,,,
ZVQD1E13,-180.308753,444.596328,6.02E-18,1686.775025,0.3444,0,-166.938229,2.10E-18,3.95E-19,3312,902,324
,,,,,,,,,,,,
ZHQF2E26,-183.605933,443.831369,6.15E-18,1690.159779,0.3444,0,-166.938229,2.10E-18,3.95E-19,3314,903,324
,,,,,,,,,,,,
MQF2E26,-184.02208,443.734821,6.16E-18,1690.586979,0,0,-166.938229,2.10E-18,3.95E-19,3316,904,11
,,,,,,,,,,,,
QF2E.26,-184.189158,443.696058,6.17E-18,1690.758494,0.55697,0.1918305,-166.938229,2.10E-18,3.95E-19,3318,905,367
,,,,,,,,,,,,
B2E.61,-185.393456,443.416656,6.21E-18,1691.994778,5.902202,0.0557427,-166.938229,2.10E-18,3.95E-19,3320,906,366
,,,,,,,,,,,,
SD3FLE.2,-192.942115,441.386932,6.50E-18,1699.812883,1.03,0,-163.744406,2.07E-18,5.12E-19,3322,907,365
,,,,,,,,,,,,
MQD3E22,-194.117182,441.044306,6.54E-18,1701.036883,0,0,-163.744406,2.07E-18,5.12E-19,3324,908,11
,,,,,,,,,,,,
QD3E.22,-194.296635,440.991982,6.55E-18,1701.223808,0.82615,-0.1748774,-163.744406,2.07E-18,5.12E-19,3326,909,364
,,,,,,,,,,,,
ZVQD3E22,-195.199896,440.728609,6.58E-18,1702.164683,0.3444,0,-163.744406,2.07E-18,5.12E-19,3328,910,324
,,,,,,,,,,,,
SKBFLE.1,-196.587878,440.323902,6.64E-18,1703.610464,0.3444,0,-163.744406,2.07E-18,5.12E-19,3330,911,324
,,,,,,,,,,,,
ZHQF4E22,-197.131251,440.165466,6.66E-18,1704.176464,0.3444,0,-163.744406,2.07E-18,5.12E-19,3332,912,324
,,,,,,,,,,,,
QF4E.22,-197.577263,440.035418,6.67E-18,1704.641049,1.01523,0.0349495,-163.744406,2.07E-18,5.12E-19,3334,913,363
,,,,,,,,,,,,
MQF4E22,-198.736601,439.697379,6.72E-18,1705.848664,0,0,-163.744406,2.07E-18,5.12E-19,3336,914,11
,,,,,,,,,,,,
SF4FLE.1,-198.915165,439.645314,6.72E-18,1706.034664,0.334,0,-163.744406,2.07E-18,5.12E-19,3338,915,369
,,,,,,,,,,,,
ZHQEAE27,-201.759101,438.816081,6.83E-18,1708.997028,0.3444,0,-163.744406,2.07E-18,5.12E-19,3340,916,324
,,,,,,,,,,,,
QEAE.27,-202.199872,438.687561,6.85E-18,1709.456153,0.82615,0.1830092,-163.744406,2.07E-18,5.12E-19,3342,917,370
,,,,,,,,,,,,
MQEAE27,-203.172446,438.403978,6.89E-18,1710.469228,0,0,-163.744406,2.07E-18,5.12E-19,3344,918,11
,,,,,,,,,,,,
ZVQD5E27,-207.280574,437.206133,7.04E-18,1714.748427,0.3444,0,-163.744406,2.07E-18,5.12E-19,3346,919,324
,,,,,,,,,,,,
QD5E.27,-207.721344,437.077614,7.06E-18,1715.207552,0.82615,-0.1793457,-163.744406,2.07E-18,5.12E-19,3348,920,371
,,,,,,,,,,,,
MQD5E27,-208.693919,436.794031,7.09E-18,1716.220627,0,0,-163.744406,2.07E-18,5.12E-19,3350,921,11
,,,,,,,,,,,,
B2E.62,-209.353262,436.60178,7.12E-18,1716.907427,5.902202,0.0557427,-163.744406,2.07E-18,5.12E-19,3352,922,366
,,,,,,,,,,,,
MQF6E14,-215.652092,434.551916,7.36E-18,1723.532428,0,0,-160.550583,2.04E-18,6.26E-19,3354,923,11
,,,,,,,,,,,,
QF6E.14,-215.81382,434.494806,7.36E-18,1723.703943,0.55697,0.1633353,-160.550583,2.04E-18,6.26E-19,3356,924,372
,,,,,,,,,,,,
B2E.63,-217.182287,434.011565,7.41E-18,1725.155227,5.902202,0.0557427,-160.550583,2.04E-18,6.26E-19,3358,925,366
,,,,,,,,,,,,
MQD5E28,-223.323903,431.627813,7.65E-18,1731.744228,0,0,-157.356761,2.00E-18,7.39E-19,3360,926,11
,,,,,,,,,,,,
QD5E.28,-223.49642,431.555848,7.65E-18,1731.931153,0.82615,-0.1793457,-157.356761,2.00E-18,7.39E-19,3362,927,371
,,,,,,,,,,,,
ZVQD5E28,-224.364772,431.193619,7.69E-18,1732.872028,0.3444,0,-157.356761,2.00E-18,7.39E-19,3364,928,324
,,,,,,,,,,,,
MQEAE28,-228.631984,429.413571,7.85E-18,1737.495627,0,0,-157.356761,2.00E-18,7.39E-19,3366,929,11
,,,,,,,,,,,,
QEAE.28,-228.804501,429.341606,7.85E-18,1737.682552,0.82615,0.1830092,-157.356761,2.00E-18,7.39E-19,3368,930,370
,,,,,,,,,,,,
ZHQEAE28,-229.672853,428.979377,7.89E-18,1738.623427,0.3444,0,-157.356761,2.00E-18,7.39E-19,3370,931,324
,,,,,,,,,,,,
SF4FLE.2,-232.416476,427.834887,7.99E-18,1741.596191,0.334,0,-157.356761,2.00E-18,7.39E-19,3372,932,369
,,,,,,,,,,,,
MQF4E23,-232.896395,427.634691,8.01E-18,1742.116191,0,0,-157.356761,2.00E-18,7.39E-19,3374,933,11
,,,,,,,,,,,,
QF4E.23,-233.073951,427.560624,8.02E-18,1742.308576,1.01523,0.0349495,-157.356761,2.00E-18,7.39E-19,3376,934,363
,,,,,,,,,,,,
ZHQF4E23,-234.121848,427.123499,8.06E-18,1743.443991,0.3444,0,-157.356761,2.00E-18,7.39E-19,3378,935,324
,,,,,,,,,,,,
SKBFLE.2,-234.64422,426.905593,8.08E-18,1744.009991,0.3444,0,-157.356761,2.00E-18,7.39E-19,3380,936,324
,,,,,,,,,,,,
ZVQD3E23,-235.978561,426.348979,8.13E-18,1745.455772,0.3444,0,-157.356761,2.00E-18,7.39E-19,3382,937,324
,,,,,,,,,,,,
QD3E.23,-236.402296,426.17222,8.14E-18,1745.914897,0.82615,-0.1748774,-157.356761,2.00E-18,7.39E-19,3384,938,364
,,,,,,,,,,,,
MQD3E23,-237.337283,425.782194,8.18E-18,1746.927972,0,0,-157.356761,2.00E-18,7.39E-19,3386,939,11
,,,,,,,,,,,,
SD5FLE.1,-237.51633,425.707506,8.18E-18,1747.121972,1.03,0,-157.356761,2.00E-18,7.39E-19,3388,940,365
,,,,,,,,,,,,
B2E.64,-240.235163,424.573357,8.29E-18,1750.067876,5.902202,0.0557427,-157.356761,2.00E-18,7.39E-19,3390,941,366
,,,,,,,,,,,,
QF2E.27,-246.227694,421.854396,8.51E-18,1756.649392,0.55697,0.1918305,-154.162938,1.96E-18,8.50E-19,3392,942,367
,,,,,,,,,,,,
MQF2E27,-246.883358,421.536912,8.54E-18,1757.377877,0,0,-154.162938,1.96E-18,8.50E-19,3394,943,11
,,,,,,,,,,,,
ZHQF2E27,-246.957881,421.500827,8.54E-18,1757.460677,0.3444,0,-154.162938,1.96E-18,8.50E-19,3396,944,324
,,,,,,,,,,,,
MQD1E14,-250.249275,419.907077,8.67E-18,1761.117631,0,0,-154.162938,1.96E-18,8.50E-19,3398,945,11
,,,,,,,,,,,,
QD1E.14,-250.422428,419.823233,8.67E-18,1761.310016,1.01523,-0.2548509,-154.162938,1.96E-18,8.50E-19,3400,946,368
,,,,,,,,,,,,
ZVQD1E14,-251.444344,419.328404,8.71E-18,1762.445431,0.3444,0,-154.162938,1.96E-18,8.50E-19,3402,947,324
,,,,,,,,,,,,
ZHQF2E28,-254.490748,417.853283,8.83E-18,1765.830185,0.3444,0,-154.162938,1.96E-18,8.50E-19,3404,948,324
,,,,,,,,,,,,
MQF2E28,-254.875244,417.667104,8.84E-18,1766.257385,0,0,-154.162938,1.96E-18,8.50E-19,3406,949,11
,,,,,,,,,,,,
QF2E.28,-255.029614,417.592355,8.85E-18,1766.4289,0.55697,0.1918305,-154.162938,1.96E-18,8.50E-19,3408,950,367
,,,,,,,,,,,,
B2E.65,-256.142315,417.053566,8.89E-18,1767.665184,5.902202,0.0557427,-154.162938,1.96E-18,8.50E-19,3410,951,366
,,,,,,,,,,,,
SD5FLE.2,-263.055277,413.404868,9.15E-18,1775.483289,1.03,0,-150.969115,1.91E-18,9.58E-19,3412,952,365
,,,,,,,,,,,,
MQD3E24,-264.125491,412.810884,9.20E-18,1776.707289,0,0,-150.969115,1.91E-18,9.58E-19,3414,953,11
,,,,,,,,,,,,
QD3E.24,-264.288931,412.720173,9.20E-18,1776.894214,0.82615,-0.1748774,-150.969115,1.91E-18,9.58E-19,3416,954,364
,,,,,,,,,,,,
ZVQD3E24,-265.111593,412.263584,9.23E-18,1777.835089,0.3444,0,-150.969115,1.91E-18,9.58E-19,3418,955,324
,,,,,,,,,,,,
SKCFLE.1,-266.375723,411.561974,9.28E-18,1779.28087,0.3444,0,-150.969115,1.91E-18,9.58E-19,3420,956,324
,,,,,,,,,,,,
ZHQF4E24,-266.87061,411.287305,9.30E-18,1779.84687,0.3444,0,-150.969115,1.91E-18,9.58E-19,3422,957,324
,,,,,,,,,,,,
QF4E.24,-267.276824,411.06185,9.32E-18,1780.311455,1.01523,0.0349495,-150.969115,1.91E-18,9.58E-19,3424,958,363
,,,,,,,,,,,,
MQF4E24,-268.332712,410.475818,9.36E-18,1781.51907,0,0,-150.969115,1.91E-18,9.58E-19,3426,959,11
,,,,,,,,,,,,
SF6FLE.1,-268.495343,410.385555,9.36E-18,1781.70507,0.334,0,-150.969115,1.91E-18,9.58E-19,3428,960,369
,,,,,,,,,,,,
ZHQEAE29,-271.08551,408.947976,9.46E-18,1784.667434,0.3444,0,-150.969115,1.91E-18,9.58E-19,3430,961,324
,,,,,,,,,,,,
QEAE.29,-271.48695,408.725172,9.48E-18,1785.126559,0.82615,0.1830092,-150.969115,1.91E-18,9.58E-19,3432,962,370
,,,,,,,,,,,,
MQEAE29,-272.37274,408.233546,9.51E-18,1786.139634,0,0,-150.969115,1.91E-18,9.58E-19,3434,963,11
,,,,,,,,,,,,
ZVQD5E29,-276.114293,406.156932,9.65E-18,1790.418833,0.3444,0,-150.969115,1.91E-18,9.58E-19,3436,964,324
,,,,,,,,,,,,
QD5E.29,-276.515733,405.934127,9.67E-18,1790.877958,0.82615,-0.1793457,-150.969115,1.91E-18,9.58E-19,3438,965,371
,,,,,,,,,,,,
MQD5E29,-277.401523,405.442501,9.70E-18,1791.891033,0,0,-150.969115,1.91E-18,9.58E-19,3440,966,11
,,,,,,,,,,,,
B2E.66,-278.002032,405.10921,9.72E-18,1792.577832,5.902202,0.0557427,-150.969115,1.91E-18,9.58E-19,3442,967,366
,,,,,,,,,,,,
MQF6E15,-283.691651,401.717244,9.94E-18,1799.202834,0,0,-147.775292,1.85E-18,1.06E-18,3444,968,11
,,,,,,,,,,,,
QF6E.15,-283.836746,401.625785,9.95E-18,1799.374349,0.55697,0.1633353,-147.775292,1.85E-18,1.06E-18,3446,969,372
,,,,,,,,,,,,
B2E.67,-285.06448,400.851901,9.99E-18,1800.825633,5.902202,0.0557427,-147.775292,1.85E-18,1.06E-18,3448,970,366
,,,,,,,,,,,,
MQD5E30,-290.526944,397.169075,1.02E-17,1807.414634,0,0,-144.581469,1.79E-18,1.16E-18,3450,971,11
,,,,,,,,,,,,
QD5E.30,-290.679277,397.060744,1.02E-17,1807.601559,0.82615,-0.1793457,-144.581469,1.79E-18,1.16E-18,3452,972,371
,,,,,,,,,,,,
ZVQD5E30,-291.446034,396.515465,1.02E-17,1808.542434,0.3444,0,-144.581469,1.79E-18,1.16E-18,3454,973,324
,,,,,,,,,,,,
MQEAE30,-295.213992,393.835882,1.04E-17,1813.166033,0,0,-144.581469,1.79E-18,1.16E-18,3456,974,11
,,,,,,,,,,,,
QEAE.30,-295.366324,393.727551,1.04E-17,1813.352958,0.82615,0.1830092,-144.581469,1.79E-18,1.16E-18,3458,975,370
,,,,,,,,,,,,
ZHQEAE30,-296.133081,393.182272,1.04E-17,1814.293833,0.3444,0,-144.581469,1.79E-18,1.16E-18,3460,976,324
,,,,,,,,,,,,
SF6FLE.2,-298.555707,391.459422,1.05E-17,1817.266597,0.334,0,-144.581469,1.79E-18,1.16E-18,3462,977,369
,,,,,,,,,,,,
MQF4E25,-298.979476,391.158058,1.05E-17,1817.786597,0,0,-144.581469,1.79E-18,1.16E-18,3464,978,11
,,,,,,,,,,,,
QF4E.25,-299.136258,391.046563,1.05E-17,1817.978982,1.01523,0.0349495,-144.581469,1.79E-18,1.16E-18,3466,979,363
,,,,,,,,,,,,
ZHQF4E25,-300.061554,390.388539,1.06E-17,1819.114397,0.3444,0,-144.581469,1.79E-18,1.16E-18,3468,980,324
,,,,,,,,,,,,
SKCFLE.2,-300.52281,390.060516,1.06E-17,1819.680397,0.3444,0,-144.581469,1.79E-18,1.16E-18,3470,981,324
,,,,,,,,,,,,
ZVQD3E25,-301.701035,389.222622,1.06E-17,1821.126178,0.3444,0,-144.581469,1.79E-18,1.16E-18,3472,982,324
,,,,,,,,,,,,
QD3E.25,-302.075195,388.956538,1.06E-17,1821.585303,0.82615,-0.1748774,-144.581469,1.79E-18,1.16E-18,3474,983,364
,,,,,,,,,,,,
MQD3E25,-302.900791,388.369416,1.07E-17,1822.598378,0,0,-144.581469,1.79E-18,1.16E-18,3476,984,11
,,,,,,,,,,,,
SD7FLE.1,-303.058889,388.256984,1.07E-17,1822.792378,1.03,0,-144.581469,1.79E-18,1.16E-18,3478,985,365
,,,,,,,,,,,,
B2E.68,-305.459625,386.549701,1.08E-17,1825.738281,5.902202,0.0557427,-144.581469,1.79E-18,1.16E-18,3480,986,366
,,,,,,,,,,,,
QF2E.29,-310.702572,382.572932,1.10E-17,1832.319798,0.55697,0.1918305,-141.387646,1.72E-18,1.26E-18,3482,987,367
,,,,,,,,,,,,
MQF2E29,-311.2718,382.118323,1.10E-17,1833.048283,0,0,-141.387646,1.72E-18,1.26E-18,3484,988,11
,,,,,,,,,,,,
ZHQF2E29,-311.336498,382.066652,1.10E-17,1833.131083,0.3444,0,-141.387646,1.72E-18,1.26E-18,3486,989,324
,,,,,,,,,,,,
MQD1E15,-314.193991,379.784536,1.11E-17,1836.788037,0,0,-141.387646,1.72E-18,1.26E-18,3488,990,11
,,,,,,,,,,,,
QD1E.15,-314.344318,379.664479,1.11E-17,1836.980422,1.01523,-0.2548509,-141.387646,1.72E-18,1.26E-18,3490,991,368
,,,,,,,,,,,,
ZVQD1E15,-315.231515,378.955925,1.12E-17,1838.115837,0.3444,0,-141.387646,1.72E-18,1.26E-18,3492,992,324
,,,,,,,,,,,,
ZHQF2E30,-317.876314,376.843676,1.13E-17,1841.50059,0.3444,0,-141.387646,1.72E-18,1.26E-18,3494,993,324
,,,,,,,,,,,,
MQF2E30,-318.210122,376.577083,1.13E-17,1841.92779,0,0,-141.387646,1.72E-18,1.26E-18,3496,994,11
,,,,,,,,,,,,
QF2E.30,-318.344141,376.470049,1.13E-17,1842.099305,0.55697,0.1918305,-141.387646,1.72E-18,1.26E-18,3498,995,367
,,,,,,,,,,,,
B2E.69,-319.310156,375.698548,1.13E-17,1843.33559,5.902202,0.0557427,-141.387646,1.72E-18,1.26E-18,3500,996,366
,,,,,,,,,,,,
SD7FLE.2,-325.245157,370.611525,1.15E-17,1851.153695,1.03,0,-138.193823,1.65E-18,1.36E-18,3502,997,365
,,,,,,,,,,,,
MQT1FOE1,-326.157532,369.795591,1.16E-17,1852.377695,0,0,-138.193823,1.65E-18,1.36E-18,3504,998,11
,,,,,,,,,,,,
QT1FOE.1,-326.296867,369.670985,1.16E-17,1852.56462,0.82615,-0.0832603,-138.193823,1.65E-18,1.36E-18,3506,999,429
,,,,,,,,,,,,
ZVQT1FOE1,-326.998199,369.043785,1.16E-17,1853.505495,0.3444,0,-138.193823,1.65E-18,1.36E-18,3508,1000,324
,,,,,,,,,,,,
ZVQT2FOE1,-328.819688,367.414833,1.17E-17,1855.949121,0.3444,0,-138.193823,1.65E-18,1.36E-18,3510,1001,324
,,,,,,,,,,,,
QT2FOE.1,-329.161922,367.108774,1.17E-17,1856.408246,1.01523,-0.0875195,-138.193823,1.65E-18,1.36E-18,3512,1002,430
,,,,,,,,,,,,
MQT2FOE1,-330.058013,366.307402,1.17E-17,1857.610401,0,0,-138.193823,1.65E-18,1.36E-18,3514,1003,11
,,,,,,,,,,,,
SF8FOE.1,-330.200728,366.179772,1.17E-17,1857.801861,0.334,0,-138.193823,1.65E-18,1.36E-18,3517,1004,369
,,,,,,,,,,,,
ZHQTAFOE1,-331.582558,364.944005,1.18E-17,1859.655661,0.3444,0,-138.193823,1.65E-18,1.36E-18,3519,1005,324
,,,,,,,,,,,,
QTAFOE.1,-331.924792,364.637947,1.18E-17,1860.114786,0.82615,0.2161279,-138.193823,1.65E-18,1.36E-18,3521,1006,431
,,,,,,,,,,,,
MQTAFOE1,-332.679942,363.962618,1.18E-17,1861.127861,0,0,-138.193823,1.65E-18,1.36E-18,3523,1007,11
,,,,,,,,,,,,
ZVQT3FOE1,-335.246729,361.667148,1.19E-17,1864.571344,0.3444,0,-138.193823,1.65E-18,1.36E-18,3525,1008,324
,,,,,,,,,,,,
QT3FOE.1,-335.588963,361.361089,1.19E-17,1865.030469,0.82615,-0.1296187,-138.193823,1.65E-18,1.36E-18,3527,1009,432
,,,,,,,,,,,,
MQT3FOE1,-336.344113,360.68576,1.20E-17,1866.043544,0,0,-138.193823,1.65E-18,1.36E-18,3529,1010,11
,,,,,,,,,,,,
B2E.70,-337.575137,359.584859,1.20E-17,1867.69503,5.902202,0.0557427,-138.193823,1.65E-18,1.36E-18,3531,1011,366
,,,,,,,,,,,,
MQT4FOE1,-342.348395,355.044183,1.22E-17,1874.284032,0,0,-135,1.57E-18,1.45E-18,3533,1012,11
,,,,,,,,,,,,
QT4FOE.1,-342.48057,354.912007,1.22E-17,1874.470957,0.82615,-0.02777,-135,1.57E-18,1.45E-18,3535,1013,433
,,,,,,,,,,,,
ZVQT4FOE1,-343.14587,354.246708,1.22E-17,1875.411832,0.3444,0,-135,1.57E-18,1.45E-18,3537,1014,324
,,,,,,,,,,,,
MQTBFOE1,-345.310116,352.082461,1.23E-17,1878.472539,0,0,-135,1.57E-18,1.45E-18,3539,1015,11
,,,,,,,,,,,,
QTBFOE.1,-345.445403,351.947174,1.23E-17,1878.663864,0.81735,0.1385267,-135,1.57E-18,1.45E-18,3541,1016,434
,,,,,,,,,,,,
ZHQTBFOE1,-346.107591,351.284986,1.23E-17,1879.600339,0.3444,0,-135,1.57E-18,1.45E-18,3543,1017,324
,,,,,,,,,,,,
MQT5FOE,-348.271838,349.12074,1.24E-17,1882.661046,0,0,-135,1.57E-18,1.45E-18,3545,1018,11
,,,,,,,,,,,,
QT5FOE,-348.404014,348.988564,1.24E-17,1882.847971,0.82615,-0.1754957,-135,1.57E-18,1.45E-18,3547,1019,435
,,,,,,,,,,,,
ZVQT5FOE,-349.069313,348.323265,1.25E-17,1883.788846,0.3444,0,-135,1.57E-18,1.45E-18,3549,1020,324
,,,,,,,,,,,,
ZHQTBFOE2,-351.041085,346.351492,1.25E-17,1886.577353,0.3444,0,-135,1.57E-18,1.45E-18,3551,1021,324
,,,,,,,,,,,,
QTBFOE.2,-351.368847,346.023731,1.25E-17,1887.040878,0.81735,0.1385267,-135,1.57E-18,1.45E-18,3553,1022,434
,,,,,,,,,,,,
MQTBFOE2,-352.082088,345.31049,1.26E-17,1888.049553,0,0,-135,1.57E-18,1.45E-18,3555,1023,11
,,,,,,,,,,,,
ZVQT4FOE2,-354.002807,343.389771,1.27E-17,1890.76586,0.3444,0,-135,1.57E-18,1.45E-18,3557,1024,324
,,,,,,,,,,,,
QT4FOE.2,-354.327457,343.06512,1.27E-17,1891.224985,0.82615,-0.02777,-135,1.57E-18,1.45E-18,3559,1025,433
,,,,,,,,,,,,
MQT4FOE2,-355.043809,342.348768,1.27E-17,1892.23806,0,0,-135,1.57E-18,1.45E-18,3561,1026,11
,,,,,,,,,,,,
B2E.71,-355.52945,341.863128,1.27E-17,1892.924859,5.902202,0.0557427,-135,1.57E-18,1.45E-18,3563,1027,366
,,,,,,,,,,,,
MQT3FOE2,-360.685387,336.344486,1.29E-17,1900.478547,0,0,-131.806177,1.49E-18,1.53E-18,3565,1028,11
,,,,,,,,,,,,
QT3FOE.2,-360.809994,336.205152,1.29E-17,1900.665472,0.82615,-0.1296187,-131.806177,1.49E-18,1.53E-18,3567,1029,432
,,,,,,,,,,,,
ZVQT3FOE2,-361.437193,335.50382,1.29E-17,1901.606347,0.3444,0,-131.806177,1.49E-18,1.53E-18,3569,1030,324
,,,,,,,,,,,,
MQTAFOE2,-363.962245,332.680316,1.30E-17,1905.39423,0,0,-131.806177,1.49E-18,1.53E-18,3571,1031,11
,,,,,,,,,,,,
QTAFOE.2,-364.086851,332.540981,1.30E-17,1905.581155,0.82615,0.2161279,-131.806177,1.49E-18,1.53E-18,3573,1032,431
,,,,,,,,,,,,
ZHQTAFOE2,-364.714051,331.839649,1.31E-17,1906.52203,0.3444,0,-131.806177,1.49E-18,1.53E-18,3575,1033,324
,,,,,,,,,,,,
SF8FOE.2,-365.95675,330.450067,1.31E-17,1908.38623,0.334,0,-131.806177,1.49E-18,1.53E-18,3578,1034,369
,,,,,,,,,,,,
MQT2FOE2,-366.307029,330.058387,1.31E-17,1908.91169,0,0,-131.806177,1.49E-18,1.53E-18,3580,1035,11
,,,,,,,,,,,,
QT2FOE.2,-366.431635,329.919052,1.31E-17,1909.098615,1.01523,-0.0875195,-131.806177,1.49E-18,1.53E-18,3582,1036,430
,,,,,,,,,,,,
ZVQT2FOE2,-367.184878,329.076779,1.32E-17,1910.22857,0.3444,0,-131.806177,1.49E-18,1.53E-18,3584,1037,324
,,,,,,,,,,,,
ZVQT1FOE2,-368.81383,327.25529,1.32E-17,1912.672197,0.3444,0,-131.806177,1.49E-18,1.53E-18,3586,1038,324
,,,,,,,,,,,,
QT1FOE.2,-369.119889,326.913056,1.32E-17,1913.131322,0.82615,-0.0832603,-131.806177,1.49E-18,1.53E-18,3588,1039,429
,,,,,,,,,,,,
MQT1FOE2,-369.795218,326.157906,1.33E-17,1914.144397,0,0,-131.806177,1.49E-18,1.53E-18,3590,1040,11
,,,,,,,,,,,,
SD7ORE.1,-369.924541,326.013297,1.33E-17,1914.338397,1.03,0,-131.806177,1.49E-18,1.53E-18,3592,1041,365
,,,,,,,,,,,,
B2E.72,-371.888318,323.817409,1.33E-17,1917.2843,5.902202,0.0557427,-131.806177,1.49E-18,1.53E-18,3594,1042,366
,,,,,,,,,,,,
QF2E.31,-376.1221,318.779723,1.35E-17,1923.865816,0.55697,0.1918305,-128.612354,1.40E-18,1.61E-18,3596,1043,367
,,,,,,,,,,,,
MQF2E31,-376.576709,318.210495,1.35E-17,1924.594301,0,0,-128.612354,1.40E-18,1.61E-18,3598,1044,11
,,,,,,,,,,,,
ZHQF2E31,-376.62838,318.145797,1.35E-17,1924.677101,0.3444,0,-128.612354,1.40E-18,1.61E-18,3600,1045,324
,,,,,,,,,,,,
MQD1E16,-378.910496,315.288304,1.36E-17,1928.334055,0,0,-128.612354,1.40E-18,1.61E-18,3602,1046,11
,,,,,,,,,,,,
QD1E.16,-379.030553,315.137977,1.36E-17,1928.52644,1.01523,-0.2548509,-128.612354,1.40E-18,1.61E-18,3605,1047,368
,,,,,,,,,,,,
ZVQD1E16,-379.739107,314.25078,1.37E-17,1929.661855,0.3444,0,-128.612354,1.40E-18,1.61E-18,3607,1048,324
,,,,,,,,,,,,
ZHQF2E32,-381.851356,311.605981,1.37E-17,1933.046609,0.3444,0,-128.612354,1.40E-18,1.61E-18,3609,1049,324
,,,,,,,,,,,,
MQF2E32,-382.117949,311.272173,1.37E-17,1933.473809,0,0,-128.612354,1.40E-18,1.61E-18,3611,1050,11
,,,,,,,,,,,,
QF2E.32,-382.224983,311.138154,1.38E-17,1933.645324,0.55697,0.1918305,-128.612354,1.40E-18,1.61E-18,3613,1051,367
,,,,,,,,,,,,
B2E.73,-382.996484,310.172139,1.38E-17,1934.881608,5.902202,0.0557427,-128.612354,1.40E-18,1.61E-18,3615,1052,366
,,,,,,,,,,,,
